Topic,1,2,3,4,5,6
Battle of White Mountain,Early modern,Europe,Basics,European wars of religion,Thirty Years' War,
Battle of Breitenfeld (1631),Early modern,Europe,Basics,European wars of religion,Thirty Years' War,
Battle of Lützen (1632),Early modern,Europe,Basics,European wars of religion,Thirty Years' War,
Battle of Nördlingen (1634),Early modern,Europe,Basics,European wars of religion,Thirty Years' War,
Battle of Rocroi,Early modern,Europe,Basics,European wars of religion,Thirty Years' War,
Counter-Reformation,Early modern,Europe,Basics,,,
Habsburg monarchy,Early modern,Europe,Basics,,,
1755 Lisbon earthquake,Early modern,Europe,Western Europe,,,
Ancien régime,Early modern,Europe,Western Europe,,,
Anglo-Dutch Wars,Early modern,Europe,Western Europe,,,
Anglo-Spanish War (1585–1604),Early modern,Europe,Western Europe,,,
Battle of Flores (1592),Early modern,Europe,Western Europe,Anglo-Spanish War (1585–1604),,
Spanish Armada,Early modern,Europe,Western Europe,Anglo-Spanish War (1585–1604),,
British Agricultural Revolution,Early modern,Europe,Western Europe,,,
Enclosure,Early modern,Europe,Western Europe,British Agricultural Revolution,,
Denmark–Norway,Early modern,Europe,Western Europe,,,
Dutch Golden Age,Early modern,Europe,Western Europe,,,
Tulip mania,Early modern,Europe,Western Europe,Dutch Golden Age,,
Eighty Years' War,Early modern,Europe,Western Europe,,,
English Civil War,Early modern,Europe,Western Europe,,,
Execution of Charles I,Early modern,Europe,Western Europe,English Civil War,,
The Protectorate,Early modern,Europe,Western Europe,English Civil War,,
Stuart Restoration,Early modern,Europe,Western Europe,English Civil War,,
Wars of the Three Kingdoms,Early modern,Europe,Western Europe,English Civil War,,
Cromwellian conquest of Ireland,Early modern,Europe,Western Europe,English Civil War,Wars of the Three Kingdoms,
French Revolution,Early modern,Europe,Western Europe,,,
French Revolutionary Wars,Early modern,Europe,Western Europe,French Revolution,,
Reign of Terror,Early modern,Europe,Western Europe,French Revolution,,
Storming of the Bastille,Early modern,Europe,Western Europe,French Revolution,,
Tennis Court Oath,Early modern,Europe,Western Europe,French Revolution,,
Thermidorian Reaction,Early modern,Europe,Western Europe,French Revolution,,
French Wars of Religion,Early modern,Europe,Western Europe,,,
St. Bartholomew's Day massacre,Early modern,Europe,Western Europe,French Wars of Religion,,
Franco-Dutch War,Early modern,Europe,Western Europe,,,
German Peasants' War,Early modern,Europe,Western Europe,,,
Grand Duchy of Tuscany,Early modern,Europe,Western Europe,,,
Great Fire of London,Early modern,Europe,Western Europe,,,
Gunpowder Plot,Early modern,Europe,Western Europe,,,
House of Bourbon,Early modern,Europe,Western Europe,,,
Huguenots,Early modern,Europe,Western Europe,,,
Iberian Union,Early modern,Europe,Western Europe,,,
Italian Wars,Early modern,Europe,Western Europe,,,
Battle of Pavia,Early modern,Europe,Western Europe,Italian Wars,,
Kingdom of Great Britain,Early modern,Europe,Western Europe,,,
Acts of Union 1707,Early modern,Europe,Western Europe,Kingdom of Great Britain,,
Acts of Union 1800,Early modern,Europe,Western Europe,Kingdom of Great Britain,,
Georgian era,Early modern,Europe,Western Europe,Kingdom of Great Britain,,
Kingdom of Ireland,Early modern,Europe,Western Europe,,,
Plantations of Ireland,Early modern,Europe,Western Europe,Kingdom of Ireland,,
Kingdom of Sardinia,Early modern,Europe,Western Europe,,,
Kleinstaaterei,Early modern,Europe,Western Europe,,,
Margraviate of Brandenburg,Early modern,Europe,Western Europe,Kleinstaaterei,,
Nine Years' War,Early modern,Europe,Western Europe,,,
Glorious Revolution,Early modern,Europe,Western Europe,Nine Years' War,,
Old Swiss Confederacy,Early modern,Europe,Western Europe,,,
Prussia,Early modern,Europe,Western Europe,,,
Kingdom of Prussia,Early modern,Europe,Western Europe,Prussia,,
Puritans,Early modern,Europe,Western Europe,,,
Second Hundred Years' War,Early modern,Europe,Western Europe,,,
Régence,Early modern,Europe,Western Europe,,,
Spanish Inquisition,Early modern,Europe,Western Europe,,,
Spanish Netherlands,Early modern,Europe,Western Europe,,,
Stuart period,Early modern,Europe,Western Europe,,,
Swedish Empire,Early modern,Europe,Western Europe,,,
Finland under Swedish rule,Early modern,Europe,Western Europe,Swedish Empire,,
Tudor period,Early modern,Europe,Western Europe,,,
War of the Austrian Succession,Early modern,Europe,Western Europe,,,
Battle of Fontenoy,Early modern,Europe,Western Europe,War of the Austrian Succession,,
War of the Spanish Succession,Early modern,Europe,Western Europe,,,
Battle of Blenheim,Early modern,Europe,Western Europe,War of the Spanish Succession,,
Battle of Malplaquet,Early modern,Europe,Western Europe,War of the Spanish Succession,,
Battle of Oudenarde,Early modern,Europe,Western Europe,War of the Spanish Succession,,
Battle of Ramillies,Early modern,Europe,Western Europe,War of the Spanish Succession,,
Siege of Turin,Early modern,Europe,Western Europe,War of the Spanish Succession,,
Cossacks,Early modern,Europe,Eastern Europe and Central,,,
Cossack Hetmanate,Early modern,Europe,Eastern Europe and Central,Cossacks,,
Crimean Khanate,Early modern,Europe,Eastern Europe and Central,,,
Great Northern War,Early modern,Europe,Eastern Europe and Central,,,
Battle of Narva (1700),Early modern,Europe,Eastern Europe and Central,Great Northern War,,
Battle of Poltava,Early modern,Europe,Eastern Europe and Central,Great Northern War,,
Great Stand on the Ugra River,Early modern,Europe,Eastern Europe and Central,,,
Great Turkish War,Early modern,Europe,Eastern Europe and Central,,,
Battle of Vienna,Early modern,Europe,Eastern Europe and Central,Great Turkish War,,
Battle of Zenta,Early modern,Europe,Eastern Europe and Central,Great Turkish War,,
History of the Russo-Turkish wars,Early modern,Europe,Eastern Europe and Central,,,
House of Romanov,Early modern,Europe,Eastern Europe and Central,,,
Khanate of Kazan,Early modern,Europe,Eastern Europe and Central,,,
Russo-Kazan Wars,Early modern,Europe,Eastern Europe and Central,Khanate of Kazan,,
Polish–Lithuanian Commonwealth,Early modern,Europe,Eastern Europe and Central,,,
Partitions of Poland,Early modern,Europe,Eastern Europe and Central,Polish–Lithuanian Commonwealth,,
Kościuszko Uprising,Early modern,Europe,Eastern Europe and Central,Polish–Lithuanian Commonwealth,Partitions of Poland,
Union of Lublin,Early modern,Europe,Eastern Europe and Central,Polish–Lithuanian Commonwealth,,
Livonian War,Early modern,Europe,Eastern Europe and Central,,,
Muscovite–Lithuanian Wars,Early modern,Europe,Eastern Europe and Central,,,
Ottoman wars in Europe,Early modern,Europe,Eastern Europe and Central,,,
Battle of Lepanto,Early modern,Europe,Eastern Europe and Central,Ottoman wars in Europe,,
Bulgarian–Ottoman wars,Early modern,Europe,Eastern Europe and Central,Ottoman wars in Europe,,
Cretan War (1645–1669),Early modern,Europe,Eastern Europe and Central,Ottoman wars in Europe,,
Great Siege of Malta,Early modern,Europe,Eastern Europe and Central,Ottoman wars in Europe,,
Siege of Belgrade (1456),Early modern,Europe,Eastern Europe and Central,Ottoman wars in Europe,,
Battle of Krtsanisi,Early modern,Europe,Eastern Europe and Central,Ottoman wars in Europe,,
Pugachev's Rebellion,Early modern,Europe,Eastern Europe and Central,,,
Russo-Polish War (1654–1667),Early modern,Europe,Eastern Europe and Central,,,
Second Northern War,Early modern,Europe,Eastern Europe and Central,,,
Polish–Russian War (1605–1618),Early modern,Europe,Eastern Europe and Central,,,
Tsardom of Russia,Early modern,Europe,Eastern Europe and Central,,,
Oprichnina,Early modern,Europe,Eastern Europe and Central,Tsardom of Russia,,
Time of Troubles,Early modern,Europe,Eastern Europe and Central,Tsardom of Russia,,
Ukrainian national revival,Early modern,Europe,Eastern Europe and Central,,,
American Revolution,Early modern,Americas,,,,
American Revolutionary War,Early modern,Americas,American Revolution,,,
Battles of Lexington and Concord,Early modern,Americas,American Revolution,American Revolutionary War,,
Battles of Saratoga,Early modern,Americas,American Revolution,American Revolutionary War,,
Siege of Yorktown,Early modern,Americas,American Revolution,American Revolutionary War,,
Treaty of Paris (1783),Early modern,Americas,American Revolution,American Revolutionary War,,
Bacon's Rebellion,Early modern,Americas,,,,
Boston Tea Party,Early modern,Americas,,,,
Constitutional Convention (United States),Early modern,Americas,,,,
Connecticut Compromise,Early modern,Americas,Constitutional Convention (United States),,,
Democratic-Republican Party,Early modern,Americas,,,,
Dutch West India Company,Early modern,Americas,,,,
European colonization of the Americas,Early modern,Americas,,,,
British colonization of the Americas,Early modern,Americas,European colonization of the Americas,,,
Danish colonization of the Americas,Early modern,Americas,European colonization of the Americas,,,
Dutch colonization of the Americas,Early modern,Americas,European colonization of the Americas,,,
French colonization of the Americas,Early modern,Americas,European colonization of the Americas,,,
Population history of the Indigenous peoples of the Americas,Early modern,Americas,European colonization of the Americas,,,
Cocoliztli epidemics,Early modern,Americas,European colonization of the Americas,Population history of the Indigenous peoples of the Americas,,
Portuguese colonization of the Americas,Early modern,Americas,European colonization of the Americas,,,
Russian colonization of North America,Early modern,Americas,European colonization of the Americas,,,
Spanish colonization of the Americas,Early modern,Americas,European colonization of the Americas,,,
Spanish conquest of the Aztec Empire,Early modern,Americas,European colonization of the Americas,Spanish colonization of the Americas,,
Spanish conquest of the Inca Empire,Early modern,Americas,European colonization of the Americas,Spanish colonization of the Americas,,
Spanish conquest of the Maya,Early modern,Americas,European colonization of the Americas,Spanish colonization of the Americas,,
Pueblo Revolt,Early modern,Americas,European colonization of the Americas,,,
Swedish colonies in the Americas,Early modern,Americas,European colonization of the Americas,,,
Federalist Party,Early modern,Americas,,,,
First Great Awakening,Early modern,Americas,,,,
French and Indian Wars,Early modern,Americas,,,,
French and Indian War,Early modern,Americas,French and Indian Wars,,,
Haitian Revolution,Early modern,Americas,,,,
Inca Civil War,Early modern,Americas,,,,
Jay Treaty,Early modern,Americas,,,,
Jeffersonian democracy,Early modern,Americas,,,,
Liberty Bell,Early modern,Americas,,,,
Pontiac's War,Early modern,Americas,,,,
Quasi-War,Early modern,Americas,,,,
Royal Proclamation of 1763,Early modern,Americas,,,,
Salem witch trials,Early modern,Americas,,,,
Shays's Rebellion,Early modern,Americas,,,,
Stamp Act 1765,Early modern,Americas,,,,
Whiskey Rebellion,Early modern,Americas,,,,
XYZ Affair,Early modern,Americas,,,,
Slavery in Africa,Early modern,Africa,,,,
Atlantic slave trade,Early modern,Africa,,,,
Sultanate of Agadez,Early modern,Africa,,,,
Ashanti Empire,Early modern,Africa,,,,
Barbary pirates,Early modern,Africa,,,,
Kingdom of Benin,Early modern,Africa,,,,
Dahomey,Early modern,Africa,,,,
Dutch Cape Colony,Early modern,Africa,,,,
Gold Coast (region),Early modern,Africa,,,,
Hausa Kingdoms,Early modern,Africa,,,,
Funj Sultanate,Early modern,Africa,,,,
Empire of Great Fulo,Early modern,Africa,,,,
European exploration of Africa,Early modern,Africa,,,,
Fula jihads,Early modern,Africa,,,,
Kong Empire,Early modern,Africa,,,,
Kingdom of Kongo,Early modern,Africa,,,,
Kingdom of Loango,Early modern,Africa,,,,
Luba Empire,Early modern,Africa,,,,
Kingdom of Lunda,Early modern,Africa,,,,
Maravi,Early modern,Africa,,,,
Majeerteen Sultanate,Early modern,Africa,,,,
Merina Kingdom,Early modern,Africa,,,,
Muhammad Ali dynasty,Early modern,Africa,,,,
Kingdom of Mutapa,Early modern,Africa,,,,
Oromo expansion,Early modern,Africa,,,,
Regency of Algiers,Early modern,Africa,,,,
Ottoman Tripolitania,Early modern,Africa,,,,
Oyo Empire,Early modern,Africa,,,,
Western imperialism in Asia,Early modern,Asia,Basics,,,
Dutch East India Company,Early modern,Asia,Basics,,,
East India Company,Early modern,Asia,Basics,,,
Afsharid Iran,Early modern,Asia,Central and Western Asia,,,
Durrani Empire,Early modern,Asia,Central and Western Asia,,,
Dzungar Khanate,Early modern,Asia,Central and Western Asia,,,
Emirate of Bukhara,Early modern,Asia,Central and Western Asia,,,
Kazakh Khanate,Early modern,Asia,Central and Western Asia,,,
Khanate of Bukhara,Early modern,Asia,Central and Western Asia,,,
Khanate of Khiva,Early modern,Asia,Central and Western Asia,,,
Khanate of Kokand,Early modern,Asia,Central and Western Asia,,,
Qajar dynasty,Early modern,Asia,Central and Western Asia,,,
Khanate of Sibir,Early modern,Asia,Central and Western Asia,,,
Russian conquest of Siberia,Early modern,Asia,Central and Western Asia,,,
Safavid dynasty,Early modern,Asia,Central and Western Asia,,,
Safavid conversion of Iran to Shia Islam,Early modern,Asia,Central and Western Asia,Safavid dynasty,,
Ya'rubids,Early modern,Asia,Central and Western Asia,,,
1556 Shaanxi earthquake,Early modern,Asia,Eastern and Southeastern Asia,,,
Aceh Sultanate,Early modern,Asia,Eastern and Southeastern Asia,,,
Ayutthaya Kingdom,Early modern,Asia,Eastern and Southeastern Asia,,,
Battle of Myeongnyang,Early modern,Asia,Eastern and Southeastern Asia,,,
Bali Kingdom,Early modern,Asia,Eastern and Southeastern Asia,,,
Dzungar genocide,Early modern,Asia,Eastern and Southeastern Asia,,,
Edo period,Early modern,Asia,Eastern and Southeastern Asia,,,
Bakumatsu,Early modern,Asia,Eastern and Southeastern Asia,Edo period,,
Shinsengumi,Early modern,Asia,Eastern and Southeastern Asia,Edo period,Bakumatsu,
Sakoku,Early modern,Asia,Eastern and Southeastern Asia,Edo period,,
Shimabara Rebellion,Early modern,Asia,Eastern and Southeastern Asia,Edo period,,
Tokugawa shogunate,Early modern,Asia,Eastern and Southeastern Asia,Edo period,,
Sultanate of Gowa,Early modern,Asia,Eastern and Southeastern Asia,,,
Johor Sultanate,Early modern,Asia,Eastern and Southeastern Asia,,,
Joseon,Early modern,Asia,Eastern and Southeastern Asia,,,
Lanfang Republic,Early modern,Asia,Eastern and Southeastern Asia,,,
Lan Na,Early modern,Asia,Eastern and Southeastern Asia,,,
Lan Xang,Early modern,Asia,Eastern and Southeastern Asia,,,
Lê dynasty,Early modern,Asia,Eastern and Southeastern Asia,,,
Mataram Sultanate,Early modern,Asia,Eastern and Southeastern Asia,,,
Ming dynasty,Early modern,Asia,Eastern and Southeastern Asia,,,
Ming treasure voyages,Early modern,Asia,Eastern and Southeastern Asia,Ming dynasty,,
Qing dynasty,Early modern,Asia,Eastern and Southeastern Asia,,,
Eight Banners,Early modern,Asia,Eastern and Southeastern Asia,Qing dynasty,,
Transition from Ming to Qing,Early modern,Asia,Eastern and Southeastern Asia,Qing dynasty,,
Ten Great Campaigns,Early modern,Asia,Eastern and Southeastern Asia,Qing dynasty,,
Rattanakosin Kingdom (1782–1932),Early modern,Asia,Eastern and Southeastern Asia,,,
Ryukyu Kingdom,Early modern,Asia,Eastern and Southeastern Asia,,,
Spanish East Indies,Early modern,Asia,Eastern and Southeastern Asia,,,
Sengoku period,Early modern,Asia,Eastern and Southeastern Asia,,,
Battle of Sekigahara,Early modern,Asia,Eastern and Southeastern Asia,Sengoku period,,
Japanese invasions of Korea (1592–1598),Early modern,Asia,Eastern and Southeastern Asia,Sengoku period,,
Nanban trade,Early modern,Asia,Eastern and Southeastern Asia,Sengoku period,,
Sino-Burmese War,Early modern,Asia,Eastern and Southeastern Asia,,,
Taiwan under Qing rule,Early modern,Asia,Eastern and Southeastern Asia,,,
Sultanate of Ternate,Early modern,Asia,Eastern and Southeastern Asia,,,
Toungoo dynasty,Early modern,Asia,Eastern and Southeastern Asia,,,
Adil Shahi dynasty,Early modern,Asia,Southern Asia,,,
Baroda State,Early modern,Asia,Southern Asia,,,
Battle of Plassey,Early modern,Asia,Southern Asia,,,
Bhopal State,Early modern,Asia,Southern Asia,,,
Great Bengal famine of 1770,Early modern,Asia,Southern Asia,,,
Deccan sultanates,Early modern,Asia,Southern Asia,,,
Dutch Ceylon,Early modern,Asia,Southern Asia,,,
French India,Early modern,Asia,Southern Asia,,,
Gwalior State,Early modern,Asia,Southern Asia,,,
Hyderabad State,Early modern,Asia,Southern Asia,,,
Kingdom of Cochin,Early modern,Asia,Southern Asia,,,
Kingdom of Kandy,Early modern,Asia,Southern Asia,,,
Kingdom of Mysore,Early modern,Asia,Southern Asia,,,
Kingdom of Sikkim,Early modern,Asia,Southern Asia,,,
Maratha Confederacy,Early modern,Asia,Southern Asia,,,
Deccan wars,Early modern,Asia,Southern Asia,Maratha Confederacy,,
Mughal Empire,Early modern,Asia,Southern Asia,,,
Oudh State,Early modern,Asia,Southern Asia,,,
Portuguese India,Early modern,Asia,Southern Asia,,,
Goa Inquisition,Early modern,Asia,Southern Asia,Portuguese India,,
Third Anglo-Maratha War,Early modern,Asia,Southern Asia,Portuguese India,,
Qutb Shahi dynasty,Early modern,Asia,Southern Asia,,,
Sikh Empire,Early modern,Asia,Southern Asia,,,
Travancore,Early modern,Asia,Southern Asia,,,
First Fleet,Early modern,Oceania,,,,
First voyage of James Cook,Early modern,Oceania,,,,
HMS Endeavour,Early modern,Oceania,First voyage of James Cook,,,
Second voyage of James Cook,Early modern,Oceania,,,,
Third voyage of James Cook,Early modern,Oceania,,,,
Death of James Cook,Early modern,Oceania,,,,
Makassan contact with Australia,Early modern,Oceania,,,,
Modern era,Modern,Modern: General,,,,
19th century,Modern,Modern: General,,,,
20th century,Modern,Modern: General,,,,
1900s,Modern,Modern: General,,,,
1910s,Modern,Modern: General,,,,
1920s,Modern,Modern: General,,,,
1930s,Modern,Modern: General,,,,
Abolitionism,Modern,Modern: General,,,,
Anti-Comintern Pact,Modern,Modern: General,,,,
Anti-communist mass killings,Modern,Modern: General,,,,
Arctic exploration,Modern,Modern: General,,,,
Great Depression,Modern,Modern: General,,,,
Heroic Age of Antarctic Exploration,Modern,Modern: General,,,,
Industrial Revolution,Modern,Modern: General,,,,
International relations (1814–1919),Modern,Modern: General,,,,
Interwar period,Modern,Modern: General,,,,
Jazz Age,Modern,Modern: General,,,,
Kellogg–Briand Pact,Modern,Modern: General,,,,
Long Depression,Modern,Modern: General,,,,
New Imperialism,Modern,Modern: General,,,,
Roaring Twenties,Modern,Modern: General,,,,
Second Industrial Revolution,Modern,Modern: General,,,,
Spanish flu,Modern,Modern: General,,,,
World War I,Modern,World War I,,,,
African theatre of World War I,Modern,World War I,,,,
East African campaign (World War I),Modern,World War I,African theatre of World War I,,,
Kamerun campaign,Modern,World War I,African theatre of World War I,,,
Military operations in North Africa during World War I,Modern,World War I,African theatre of World War I,,,
Somaliland campaign,Modern,World War I,African theatre of World War I,,,
South West Africa campaign,Modern,World War I,African theatre of World War I,,,
Togoland campaign,Modern,World War I,African theatre of World War I,,,
Aftermath of World War I,Modern,World War I,,,,
Revolutions of 1917–1923,Modern,World War I,Aftermath of World War I,,,
German revolution of 1918–1919,Modern,World War I,Aftermath of World War I,Revolutions of 1917–1923,,
Allies of World War I,Modern,World War I,,,,
American entry into World War I,Modern,World War I,,,,
Zimmermann Telegram,Modern,World War I,American entry into World War I,,,
Arab Revolt,Modern,World War I,,,,
Assassination of Archduke Franz Ferdinand,Modern,World War I,,,,
Austro-Hungarian entry into World War I,Modern,World War I,,,,
Balfour Declaration,Modern,World War I,,,,
Balkans theatre,Modern,World War I,,,,
Macedonian front,Modern,World War I,Balkans theatre,,,
Serbian campaign,Modern,World War I,Balkans theatre,,,
Central Powers,Modern,World War I,,,,
Eastern Front (World War I),Modern,World War I,,,,
Battle of Galicia,Modern,World War I,Eastern Front (World War I),,,
Battle of Tannenberg,Modern,World War I,Eastern Front (World War I),,,
Brusilov offensive,Modern,World War I,Eastern Front (World War I),,,
Gorlice–Tarnów offensive,Modern,World War I,Eastern Front (World War I),,,
Great Retreat (Russia),Modern,World War I,Eastern Front (World War I),,,
Romania in World War I,Modern,World War I,Eastern Front (World War I),,,
French entry into World War I,Modern,World War I,,,,
German entry into World War I,Modern,World War I,,,,
Greek genocide,Modern,World War I,,,,
Italian front (World War I),Modern,World War I,,,,
Battle of Caporetto,Modern,World War I,Italian front (World War I),,,
Battles of the Isonzo,Modern,World War I,Italian front (World War I),,,
Battle of Vittorio Veneto,Modern,World War I,Italian front (World War I),,,
July Crisis,Modern,World War I,,,,
Middle Eastern theatre of World War I,Modern,World War I,,,,
Caucasus campaign,Modern,World War I,Middle Eastern theatre of World War I,,,
Gallipoli campaign,Modern,World War I,Middle Eastern theatre of World War I,,,
Mesopotamian campaign,Modern,World War I,Middle Eastern theatre of World War I,,,
Sinai and Palestine campaign,Modern,World War I,Middle Eastern theatre of World War I,,,
Ottoman entry into World War I,Modern,World War I,,,,
Russian entry into World War I,Modern,World War I,,,,
U-boat campaign,Modern,World War I,,,,
Treaty of Brest-Litovsk,Modern,World War I,,,,
Treaty of Versailles,Modern,World War I,,,,
Western Front (World War I),Modern,World War I,,,,
Battle of the Frontiers,Modern,World War I,Western Front (World War I),,,
Hundred Days Offensive,Modern,World War I,Western Front (World War I),,,
First Battle of the Marne,Modern,World War I,Western Front (World War I),,,
Nivelle offensive,Modern,World War I,Western Front (World War I),,,
Battle of Passchendaele,Modern,World War I,Western Front (World War I),,,
Battle of the Somme,Modern,World War I,Western Front (World War I),,,
German spring offensive,Modern,World War I,Western Front (World War I),,,
Battle of Verdun,Modern,World War I,Western Front (World War I),,,
World War II,Modern,World War II,,,,
Causes of World War II,Modern,World War II,,,,
Anschluss,Modern,World War II,Causes of World War II,,,
Molotov–Ribbentrop Pact,Modern,World War II,Causes of World War II,,,
Munich Agreement,Modern,World War II,Causes of World War II,,,
Invasion of Poland,Modern,World War II,Causes of World War II,,,
Soviet invasion of Poland,Modern,World War II,Causes of World War II,Invasion of Poland,,
Air warfare of World War II,Modern,World War II,,,,
Defence of the Reich,Modern,World War II,Air warfare of World War II,,,
The Blitz,Modern,World War II,Air warfare of World War II,,,
Battle of Britain,Modern,World War II,Air warfare of World War II,,,
Strategic bombing during World War II,Modern,World War II,Air warfare of World War II,,,
Air raids on Japan,Modern,World War II,Air warfare of World War II,Strategic bombing during World War II,,
Atomic bombings of Hiroshima and Nagasaki,Modern,World War II,Air warfare of World War II,Strategic bombing during World War II,,
Allies of World War II,Modern,World War II,,,,
Attack on Pearl Harbor,Modern,World War II,,,,
Axis powers,Modern,World War II,,,,
Battle of the Atlantic,Modern,World War II,,,,
World War II casualties,Modern,World War II,,,,
Eastern Front (World War II),Modern,World War II,,,,
Operation Barbarossa,Modern,World War II,Eastern Front (World War II),,,
Operation Bagration,Modern,World War II,Eastern Front (World War II),,,
Battle of Berlin,Modern,World War II,Eastern Front (World War II),,,
Battle of Kursk,Modern,World War II,Eastern Front (World War II),,,
Siege of Leningrad,Modern,World War II,Eastern Front (World War II),,,
Battle of Stalingrad,Modern,World War II,Eastern Front (World War II),,,
Soviet partisans,Modern,World War II,Eastern Front (World War II),,,
Winter War,Modern,World War II,Eastern Front (World War II),,,
Continuation War,Modern,World War II,Eastern Front (World War II),Winter War,,
Free France,Modern,World War II,,,,
German-occupied Europe,Modern,World War II,,,,
Warsaw Uprising,Modern,World War II,German-occupied Europe,,,
Warsaw Ghetto Uprising,Modern,World War II,German-occupied Europe,,,
The Holocaust,Modern,World War II,,,,
Aktion T4,Modern,World War II,The Holocaust,,,
Babi Yar,Modern,World War II,The Holocaust,,,
Bandenbekämpfung,Modern,World War II,The Holocaust,,,
Einsatzgruppen,Modern,World War II,The Holocaust,,,
Evidence and documentation for the Holocaust,Modern,World War II,The Holocaust,,,
Final Solution,Modern,World War II,The Holocaust,,,
Generalplan Ost,Modern,World War II,The Holocaust,,,
Holocaust trains,Modern,World War II,The Holocaust,,,
Jewish question,Modern,World War II,The Holocaust,,,
Nazi concentration camps,Modern,World War II,The Holocaust,,,
Auschwitz concentration camp,Modern,World War II,The Holocaust,Nazi concentration camps,,
Jewish ghettos established by Nazi Germany,Modern,World War II,The Holocaust,,,
Warsaw Ghetto,Modern,World War II,The Holocaust,Jewish ghettos established by Nazi Germany,,
Operation Reinhard,Modern,World War II,The Holocaust,,,
Rescue of Jews during the Holocaust,Modern,World War II,The Holocaust,,,
Romani Holocaust,Modern,World War II,The Holocaust,,,
Lend-Lease,Modern,World War II,,,,
Mediterranean and Middle East theatre of World War II,Modern,World War II,,,,
Allied invasion of Sicily,Modern,World War II,Mediterranean and Middle East theatre of World War II,,,
Anglo-Iraqi War,Modern,World War II,Mediterranean and Middle East theatre of World War II,,,
Anglo-Soviet invasion of Iran,Modern,World War II,Mediterranean and Middle East theatre of World War II,,,
Balkans campaign (World War II),Modern,World War II,Mediterranean and Middle East theatre of World War II,,,
German invasion of Greece,Modern,World War II,Mediterranean and Middle East theatre of World War II,Balkans campaign (World War II),,
Italian campaign (World War II),Modern,World War II,Mediterranean and Middle East theatre of World War II,,,
Siege of Malta (World War II),Modern,World War II,Mediterranean and Middle East theatre of World War II,,,
North African campaign,Modern,World War II,Mediterranean and Middle East theatre of World War II,,,
Tunisian campaign,Modern,World War II,Mediterranean and Middle East theatre of World War II,North African campaign,,
Operation Torch,Modern,World War II,Mediterranean and Middle East theatre of World War II,North African campaign,,
Western Desert campaign,Modern,World War II,Mediterranean and Middle East theatre of World War II,North African campaign,,
Pacific War,Modern,World War II,,,,
Battle of Hong Kong,Modern,World War II,Pacific War,,,
Fall of Singapore,Modern,World War II,Pacific War,,,
Burma campaign,Modern,World War II,Pacific War,,,
Guadalcanal campaign,Modern,World War II,Pacific War,,,
Kokoda Track campaign,Modern,World War II,Pacific War,,,
Malayan campaign,Modern,World War II,Pacific War,,,
Battle of Iwo Jima,Modern,World War II,Pacific War,,,
Battle of Leyte Gulf,Modern,World War II,Pacific War,,,
Battle of Okinawa,Modern,World War II,Pacific War,,,
Battle of Midway,Modern,World War II,Pacific War,,,
Soviet–Japanese War,Modern,World War II,Pacific War,,,
Soviet invasion of Manchuria,Modern,World War II,Pacific War,Soviet–Japanese War,,
Potsdam Conference,Modern,World War II,,,,
Oder–Neisse line,Modern,World War II,Potsdam Conference,,,
Resistance during World War II,Modern,World War II,,,,
Home Army,Modern,World War II,Resistance during World War II,,,
Surrender of Japan,Modern,World War II,,,,
Vichy France,Modern,World War II,,,,
Syria–Lebanon campaign,Modern,World War II,Vichy France,,,
Western Front (World War II),Modern,World War II,,,,
Battle of France,Modern,World War II,Western Front (World War II),,,
Battle of the Bulge,Modern,World War II,Western Front (World War II),,,
Operation Market Garden,Modern,World War II,Western Front (World War II),,,
Operation Weserübung,Modern,World War II,Western Front (World War II),,,
Normandy landings,Modern,World War II,Western Front (World War II),,,
Western Allied invasion of Germany,Modern,World War II,Western Front (World War II),,,
World War II in Yugoslavia,Modern,World War II,,,,
Chetniks,Modern,World War II,World War II in Yugoslavia,,,
Genocide of Serbs in the Independent State of Croatia,Modern,World War II,World War II in Yugoslavia,,,
Yugoslav Partisans,Modern,World War II,World War II in Yugoslavia,,,
Yalta Conference,Modern,World War II,,,,
Assassination of Spencer Perceval,Modern,Europe,,,,
Austrian Empire,Modern,Europe,,,,
Austria-Hungary,Modern,Europe,,,,
Balkan Wars,Modern,Europe,,,,
First Balkan War,Modern,Europe,Balkan Wars,,,
Second Balkan War,Modern,Europe,Balkan Wars,,,
Belgian Revolution,Modern,Europe,,,,
Belle Époque,Modern,Europe,,,,
Chartism,Modern,Europe,,,,
Communist International,Modern,Europe,,,,
Congress of Berlin,Modern,Europe,,,,
Crimean War,Modern,Europe,,,,
Siege of Sevastopol (1854–1855),Modern,Europe,Crimean War,,,
Dissolution of the Ottoman Empire,Modern,Europe,,,,
Dreyfus affair,Modern,Europe,,,,
Eastern question,Modern,Europe,,,,
Armenian question,Modern,Europe,Eastern question,,,
Estado Novo (Portugal),Modern,Europe,,,,
Finnish Civil War,Modern,Europe,,,,
First Carlist War,Modern,Europe,,,,
First French Empire,Modern,Europe,,,,
Confederation of the Rhine,Modern,Europe,First French Empire,,,
Kingdom of Italy (Napoleonic),Modern,Europe,First French Empire,,,
Franco-Prussian War,Modern,Europe,,,,
Battle of Gravelotte,Modern,Europe,Franco-Prussian War,,,
Battle of Mars-la-Tour,Modern,Europe,Franco-Prussian War,,,
Battle of Sedan,Modern,Europe,Franco-Prussian War,,,
Siege of Metz (1870),Modern,Europe,Franco-Prussian War,,,
